Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A18005_001,SE_A18009_001
18141011303,14000US18141011303,Census Tract 113.03,"Census Tract 113.03, St. Joseph County, Indiana",in,140,0,ACSSF,4328,,,,,18,141,,,,11303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,754.2857143,884
18141011304,14000US18141011304,Census Tract 113.04,"Census Tract 113.04, St. Joseph County, Indiana",in,140,0,ACSSF,4329,,,,,18,141,,,,11304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18141011305,14000US18141011305,Census Tract 113.05,"Census Tract 113.05, St. Joseph County, Indiana",in,140,0,ACSSF,4330,,,,,18,141,,,,11305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,934.5454545,876
18141011306,14000US18141011306,Census Tract 113.06,"Census Tract 113.06, St. Joseph County, Indiana",in,140,0,ACSSF,4331,,,,,18,141,,,,11306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1112.389381,1290
18141011403,14000US18141011403,Census Tract 114.03,"Census Tract 114.03, St. Joseph County, Indiana",in,140,0,ACSSF,4332,,,,,18,141,,,,11403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1199.02439,1216
18141011404,14000US18141011404,Census Tract 114.04,"Census Tract 114.04, St. Joseph County, Indiana",in,140,0,ACSSF,4333,,,,,18,141,,,,11404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18141011405,14000US18141011405,Census Tract 114.05,"Census Tract 114.05, St. Joseph County, Indiana",in,140,0,ACSSF,4334,,,,,18,141,,,,11405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18141011406,14000US18141011406,Census Tract 114.06,"Census Tract 114.06, St. Joseph County, Indiana",in,140,0,ACSSF,4335,,,,,18,141,,,,11406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1120.512821,2106
18141011501,14000US18141011501,Census Tract 115.01,"Census Tract 115.01, St. Joseph County, Indiana",in,140,0,ACSSF,4336,,,,,18,141,,,,11501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,666.6964286,647
18141011503,14000US18141011503,Census Tract 115.03,"Census Tract 115.03, St. Joseph County, Indiana",in,140,0,ACSSF,4337,,,,,18,141,,,,11503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,697.7777778,738
18141011504,14000US18141011504,Census Tract 115.04,"Census Tract 115.04, St. Joseph County, Indiana",in,140,0,ACSSF,4338,,,,,18,141,,,,11504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,775.862069,966
18141011505,14000US18141011505,Census Tract 115.05,"Census Tract 115.05, St. Joseph County, Indiana",in,140,0,ACSSF,4339,,,,,18,141,,,,11505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,948.6947791,921
18141011506,14000US18141011506,Census Tract 115.06,"Census Tract 115.06, St. Joseph County, Indiana",in,140,0,ACSSF,4340,,,,,18,141,,,,11506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,869.4600675,849
18141011601,14000US18141011601,Census Tract 116.01,"Census Tract 116.01, St. Joseph County, Indiana",in,140,0,ACSSF,4341,,,,,18,141,,,,11601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,542.3529412,754
18141011602,14000US18141011602,Census Tract 116.02,"Census Tract 116.02, St. Joseph County, Indiana",in,140,0,ACSSF,4342,,,,,18,141,,,,11602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,834.7181009,913
18141011701,14000US18141011701,Census Tract 117.01,"Census Tract 117.01, St. Joseph County, Indiana",in,140,0,ACSSF,4343,,,,,18,141,,,,11701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,736.6197183,615
18141011702,14000US18141011702,Census Tract 117.02,"Census Tract 117.02, St. Joseph County, Indiana",in,140,0,ACSSF,4344,,,,,18,141,,,,11702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,835.5764706,746
18141011801,14000US18141011801,Census Tract 118.01,"Census Tract 118.01, St. Joseph County, Indiana",in,140,0,ACSSF,4345,,,,,18,141,,,,11801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1214.285714,1163
18141011802,14000US18141011802,Census Tract 118.02,"Census Tract 118.02, St. Joseph County, Indiana",in,140,0,ACSSF,4346,,,,,18,141,,,,11802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,577.3026316,542
18141011900,14000US18141011900,Census Tract 119,"Census Tract 119, St. Joseph County, Indiana",in,140,0,ACSSF,4347,,,,,18,141,,,,11900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,817.8378378,741
18141012000,14000US18141012000,Census Tract 120,"Census Tract 120, St. Joseph County, Indiana",in,140,0,ACSSF,4348,,,,,18,141,,,,12000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,443.2835821,587
18141012100,14000US18141012100,Census Tract 121,"Census Tract 121, St. Joseph County, Indiana",in,140,0,ACSSF,4349,,,,,18,141,,,,12100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,475.210084,538
18141012200,14000US18141012200,Census Tract 122,"Census Tract 122, St. Joseph County, Indiana",in,140,0,ACSSF,4350,,,,,18,141,,,,12200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,607.4380165,704
18141012300,14000US18141012300,Census Tract 123,"Census Tract 123, St. Joseph County, Indiana",in,140,0,ACSSF,4351,,,,,18,141,,,,12300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,722.2222222,848
18141012400,14000US18141012400,Census Tract 124,"Census Tract 124, St. Joseph County, Indiana",in,140,0,ACSSF,4352,,,,,18,141,,,,12400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,746.1538462,944
